episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
263,21594,0.2918069362640381,-5.229672431945801,331.0,331,nan,nan,nan,nan,477.7
264,21731,0.12276911735534668,-3.0939512252807617,137.0,137,nan,nan,nan,nan,477.7
265,21940,0.18199563026428223,-2.553448438644409,209.0,209,nan,nan,nan,nan,477.7
266,22090,0.1475210189819336,-10.210627555847168,150.0,150,nan,nan,nan,nan,477.7
267,22242,0.1589062213897705,1.7758080959320068,152.0,152,nan,nan,nan,nan,477.7
268,22356,0.10558176040649414,-4.551443099975586,114.0,114,nan,nan,nan,nan,477.7
269,22856,0.4581782817840576,-5.547720432281494,500.0,500,nan,nan,nan,nan,477.7
270,23160,0.2764754295349121,-10.702788352966309,304.0,304,nan,nan,nan,nan,477.7
271,23480,0.2801032066345215,2.8799448013305664,320.0,320,nan,nan,nan,nan,477.7
272,23551,0.07132124900817871,-1.0048582553863525,71.0,71,nan,nan,nan,nan,477.7
273,23811,0.23344635963439941,0.8384082317352295,260.0,260,nan,nan,nan,nan,477.7
274,23920,0.09779477119445801,0.29466402530670166,109.0,109,nan,nan,nan,nan,477.7
275,24074,0.1374802589416504,0.22826921939849854,154.0,154,317.25,120.22265801420296,186.1,67.96388746974382,477.7
276,24436,0.3328731060028076,-11.698185920715332,362.0,362,nan,nan,nan,nan,477.7
277,24566,0.1361088752746582,-1.5590527057647705,130.0,130,nan,nan,nan,nan,477.7
278,24689,0.13620519638061523,0.1505293846130371,123.0,123,nan,nan,nan,nan,477.7
279,24756,0.07501339912414551,-2.3752379417419434,67.0,67,nan,nan,nan,nan,477.7
280,24958,0.21271991729736328,-4.2628045082092285,202.0,202,nan,nan,nan,nan,477.7
281,25246,0.3094632625579834,0.3271040916442871,288.0,288,nan,nan,nan,nan,477.7
282,25478,0.2214045524597168,-4.455934047698975,232.0,232,nan,nan,nan,nan,477.7
283,25606,0.14794635772705078,2.9416022300720215,128.0,128,nan,nan,nan,nan,477.7
284,26106,0.5550482273101807,-13.90323257446289,500.0,500,nan,nan,nan,nan,477.7
