iteration,env_steps,dt_sec,lr,ent_coef,approx_kl,updates,rollout_ep_ret_mean,rollout_ep_ret_n,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
115,237568,2.50681734085083,0.0002655,0.00885,0.0013429400823952165,64,36.15427780151367,5,nan,nan,nan,nan,103.81615822917456
116,239616,2.6563236713409424,0.0002652,0.00884,0.0033444699547544587,64,138.07327270507812,2,nan,nan,nan,nan,103.81615822917456
117,241664,2.6175053119659424,0.0002649,0.008830000000000001,0.0015424467892444227,64,28.91841697692871,6,nan,nan,nan,nan,103.81615822917456
118,243712,2.6356215476989746,0.0002646,0.00882,0.004110314770514378,64,-32.4749641418457,5,nan,nan,nan,nan,103.81615822917456
119,245760,2.175234317779541,0.0002643,0.00881,0.0036941136663349774,39,120.49443054199219,1,nan,nan,nan,nan,103.81615822917456
120,247808,2.5061919689178467,0.00026399999999999997,0.0088,0.002564691487350501,64,78.50568389892578,4,32.10737118797383,132.95327077081257,129.15024603548787,107.48325784591046,103.81615822917456
121,249856,1.7491590976715088,0.00026369999999999996,0.008790000000000001,0.00402872755780424,57,10.045112609863281,5,nan,nan,nan,nan,103.81615822917456
122,251904,1.7998888492584229,0.00026339999999999995,0.00878,0.002585290541901486,64,65.66231536865234,3,nan,nan,nan,nan,103.81615822917456
123,253952,1.7611732482910156,0.0002631,0.00877,0.0025648021255619824,64,108.77335357666016,3,nan,nan,nan,nan,103.81615822917456
124,256000,2.4429526329040527,0.0002628,0.00876,0.001407603922416456,64,112.32647705078125,3,nan,nan,nan,nan,103.81615822917456
125,258048,2.4532504081726074,0.0002625,0.00875,0.003126558647636557,64,-1.2594019174575806,6,nan,nan,nan,nan,103.81615822917456
126,260096,2.5291085243225098,0.0002622,0.00874,0.004342356143752113,64,72.3080062866211,3,nan,nan,nan,nan,103.81615822917456
127,262144,2.5016720294952393,0.00026189999999999997,0.00873,0.0023150581728259567,64,-5.4787750244140625,2,nan,nan,nan,nan,103.81615822917456
128,264192,2.5893232822418213,0.00026159999999999996,0.00872,0.0012483655627875123,64,-61.95103454589844,2,nan,nan,nan,nan,103.81615822917456
129,266240,2.5606796741485596,0.00026129999999999995,0.00871,0.0014265649042499717,64,55.745975494384766,4,nan,nan,nan,nan,103.81615822917456
